x,y,z,xt,yt,zt
1.430243, -0.800312, -1.550969, , , 
1.445140, -1.150354, -2.094214, , , 
1.692677, -1.038219, -1.872658, , , 
0.716981, -0.287450, -0.883402, , , 
0.246433, 0.107749, -0.844972, , , 
0.948144, 0.001278, -0.919085, , , 
1.490174, -1.066685, -1.932390, , , 
0.696471, 0.221196, -0.759277, , , 
0.199638, 0.115334, -0.833479, , , 
0.441128, -0.522240, -0.760587, , , 
1.804993, -1.215394, -2.060552, , , 
0.908242, -1.055663, -1.934013, , , 
1.620871, -1.211471, -1.968897, , , 
1.040005, 0.000773, -0.927544, , , 
0.294125, -1.436512, -2.176062, , , 
0.015975, -0.173084, -0.882459, , , 
0.961996, -0.100798, -0.908210, , , 
-0.071850, -1.389758, -2.122547, , , 
0.831933, -0.489955, -0.793378, , , 
0.377020, 0.074265, -0.870104, , , 
1.107581, -0.044345, -0.972864, , , 
1.591872, -0.758055, -1.441260, , , 
0.819673, -0.827846, -1.377763, , , 
0.168838, -0.098789, -1.079455, , , 
1.198162, -0.032937, -0.830476, , , 
0.991221, -1.041651, -1.858709, , , 
0.940331, 0.237074, -0.861376, , , 
1.296776, -0.610900, -1.132004, , , 
0.267752, -0.640468, -1.027851, , , 
0.679197, -0.038438, -0.978377, , , 
0.867590, 0.195227, -0.679502, , , 
-0.023595, -0.720814, -1.274801, , , 
0.173697, 0.179491, -0.788340, , , 
0.955728, 0.028438, -0.934377, , , 
0.270070, -0.122440, -0.838397, , , 
1.038809, 0.008739, -1.056056, , , 
-0.177058, 0.278682, -0.746163, , , 
-0.112548, 0.111522, -0.904287, , , 
0.317367, 0.187867, -0.776400, , , 
-0.063290, -0.189997, -1.076143, , , 
-0.710753, -0.551626, -1.546343, , , 
0.714005, -0.192198, -0.957977, , , 
0.376348, 0.192762, -0.761584, , , 
-0.193073, -0.504580, -1.502813, , , 
1.480804, -1.052320, -1.861794, , , 
1.342302, -2.548324, -5.810869, , , 
-0.432706, 0.258006, -0.762393, , , 
-0.637758, -0.135353, -1.117742, , , 
-0.697461, -0.447998, -1.382937, , , 
-0.334517, 0.191778, -0.853184, , , 
-0.651936, -0.453102, -1.381816, , , 
-0.598322, -0.234629, -1.243493, , , 
-0.162671, -0.629025, -1.640747, , , 
-0.212403, -0.247260, -1.137654, , , 
0.245009, 0.221271, -0.741663, , , 
-0.849455, -0.409701, -1.375885, , , 
0.163684, 0.280861, -0.730792, , , 
0.275589, 0.098472, -0.850160, , , 
-0.136458, 0.247512, -0.778472, , , 
-0.798221, -0.285844, -1.242785, , , 
0.106367, 0.113181, -0.891396, , , 
0.167265, 0.283408, -0.743328, , , 
-0.588058, 0.230464, -0.756716, , , 
-0.696892, 0.015226, -0.976436, , , 
-0.977994, -0.508702, -1.515515, , , 
0.016043, 0.195673, -0.822781, , , 
-0.674364, 0.326426, -0.777585, , , 
-0.415570, 0.386144, -0.664799, , , 
-0.662273, 0.309843, -0.734096, , , 
-0.553923, 0.277655, -0.702919, , , 
-0.179668, -0.133527, -1.066319, , , 
-0.413359, 0.384736, -0.662640, , , 
-0.457445, 0.293474, -0.786132, , , 
-0.657821, -0.369278, -1.301918, , , 
0.007442, -0.497653, -1.493435, , , 
-0.556621, 0.275344, -0.696245, , , 
-0.702885, -0.097903, -1.084052, , , 
-0.681495, 0.330150, -0.809364, , , 
-0.594282, -0.278080, -1.297494, , , 
-0.021944, 0.037431, -0.816926, , , 
0.007823, -0.048875, -0.799361, , , 
